2014/09/25 16:45:31 pserver: started...
2014/09/25 16:45:31 cserver: started...
2014/09/25 16:45:31 starting Point
2014/09/25 16:45:32 msgCount/second 0
2014/09/25 16:45:33 msgCount/second 0
2014/09/25 16:45:34 server: new client
2014/09/25 16:45:34 server: new client
2014/09/25 16:45:34 msgCount/second 0
2014/09/25 16:45:35 msgCount/second 0
2014/09/25 16:45:36 msgCount/second 0
2014/09/25 16:45:37 msgCount/second 0
2014/09/25 16:45:38 msgCount/second 0
2014/09/25 16:45:39 msgCount/second 0
2014/09/25 16:45:40 msgCount/second 0
2014/09/25 16:45:41 msgCount/second 0
2014/09/25 16:45:42 msgCount/second 0
2014/09/25 16:45:43 msgCount/second 0
2014/09/25 16:45:44 msgCount/second 0
2014/09/25 16:45:45 msgCount/second 0
2014/09/25 16:45:46 msgCount/second 0
2014/09/25 16:45:47 msgCount/second 0
2014/09/25 16:45:48 msgCount/second 0
2014/09/25 16:45:49 msgCount/second 0
2014/09/25 16:45:50 msgCount/second 0
2014/09/25 16:45:51 msgCount/second 0
2014/09/25 16:45:52 msgCount/second 0
2014/09/25 16:45:53 msgCount/second 0
2014/09/25 16:45:54 msgCount/second 0
2014/09/25 16:45:55 msgCount/second 33
2014/09/25 16:45:56 msgCount/second 81
2014/09/25 16:45:57 msgCount/second 86
2014/09/25 16:45:58 msgCount/second 84
2014/09/25 16:45:59 msgCount/second 75
2014/09/25 16:46:00 msgCount/second 116
2014/09/25 16:46:01 msgCount/second 112
2014/09/25 16:46:02 msgCount/second 53
2014/09/25 16:46:03 msgCount/second 0
2014/09/25 16:46:04 msgCount/second 0
2014/09/25 16:46:05 msgCount/second 0
2014/09/25 16:46:06 msgCount/second 0
2014/09/25 16:46:07 msgCount/second 0
2014/09/25 16:46:08 msgCount/second 0
2014/09/25 16:46:09 msgCount/second 0
2014/09/25 16:46:10 msgCount/second 0
2014/09/25 16:46:11 msgCount/second 0
2014/09/25 16:46:12 msgCount/second 0
2014/09/25 16:46:13 msgCount/second 0
2014/09/25 16:46:14 msgCount/second 0
2014/09/25 16:46:15 msgCount/second 0
2014/09/25 16:46:16 msgCount/second 0
2014/09/25 16:46:17 msgCount/second 0
2014/09/25 16:46:18 msgCount/second 0
2014/09/25 16:46:19 msgCount/second 0
2014/09/25 16:46:20 msgCount/second 0
2014/09/25 16:46:21 msgCount/second 0
2014/09/25 16:46:22 msgCount/second 0
2014/09/25 16:46:23 msgCount/second 0
2014/09/25 16:46:24 msgCount/second 0
2014/09/25 16:46:25 msgCount/second 0
2014/09/25 16:46:26 msgCount/second 0
2014/09/25 16:46:27 msgCount/second 0
2014/09/25 16:46:28 msgCount/second 0
2014/09/25 16:46:29 msgCount/second 0
